app_id	nb_instances	core	memory	inter_degree	inter_aff
1	1	1	8	0	[]
2	1	1	8	0	[]
3	4	1	8	0	[]
4	2	1	8	0	[]
5	18	2	8	10	[(8382, 2), (8468, 2), (1449, 1), (5757, 1), (4269, 2), (2819, 1), (7998, 0), (8933, 1), (8734, 2), (8873, 2)]
6	1	1	7	0	[]
7	1	1	8	1	[(5752, 2)]
8	4	1	8	0	[]
9	1	1	2	0	[]
10	1	4	8	0	[]
11	1	1	6	0	[]
12	2	1	8	0	[]
13	8	2	2	1	[(798, 0)]
14	3	1	8	0	[]
15	2	1	2	0	[]
16	2	1	8	0	[]
17	2	1	8	0	[]
18	6	1	8	0	[]
19	5	1	5	0	[]
20	4	6	8	0	[]
21	4	1	7	0	[]
22	78	10	16	25	[(1416, 0), (5451, 1), (8191, 1), (7202, 1), (6659, 0), (577, 0), (9127, 0), (5366, 0), (6161, 0), (2082, 0), (8347, 0), (8817, 2), (9084, 0), (8653, 0), (4998, 0), (8221, 0), (4947, 0), (615, 0), (456, 0), (5028, 0), (6408, 0), (285, 0), (2353, 0), (8629, 2), (5172, 0)]
23	2	1	8	0	[]
24	2	2	8	1	[(798, 0)]
25	2	2	2	0	[]
26	4	1	16	0	[]
27	21	3	8	3	[(6659, 0), (5273, 1), (8173, 2)]
28	10	1	1	17	[(5449, 2), (1296, 1), (3952, 2), (3520, 0), (5954, 2), (4231, 2), (3210, 1), (1361, 2), (440, 1), (4781, 0), (3243, 2), (804, 2), (3489, 2), (7797, 2), (6156, 2), (8946, 1), (862, 2)]
29	2	1	8	0	[]
30	4	2	4	0	[]
31	1	1	8	0	[]
32	2	1	8	0	[]
33	1	1	8	0	[]
34	12	1	8	0	[]
35	2	1	8	0	[]
36	1	4	8	0	[]
37	2	1	8	1	[(3263, 1)]
38	5	1	8	0	[]
39	2	1	8	1	[(798, 0)]
40	3	6	8	0	[]
41	2	1	1	0	[]
42	1	1	16	0	[]
43	2	1	8	0	[]
44	2	1	8	0	[]
45	1	1	8	0	[]
46	2	1	4	0	[]
47	1	1	1	0	[]
48	17	3	8	2	[(6659, 0), (5034, 2)]
49	4	1	8	0	[]
50	8	3	8	3	[(3861, 0), (1059, 2), (7414, 2)]
51	2	1	8	1	[(7315, 1)]
52	22	2	8	6	[(4522, 1), (4825, 2), (5862, 2), (1059, 2), (689, 0), (6381, 2)]
53	6	1	8	0	[]
54	3	1	8	0	[]
55	2	1	6	0	[]
56	5	1	8	0	[]
57	1	4	8	0	[]
58	1	1	8	0	[]
59	1	1	8	0	[]
60	10	4	8	48	[(2880, 1), (9325, 2), (2487, 0), (7853, 1), (275, 0), (3128, 0), (7322, 0), (2410, 0), (8457, 0), (7613, 2), (2857, 0), (2485, 0), (936, 2), (6419, 1), (8199, 1), (7443, 0), (8638, 0), (7352, 1), (9095, 2), (3531, 2), (2129, 0), (4808, 0), (4698, 0), (2486, 0), (2406, 0), (3997, 1), (3264, 1), (7085, 0), (2033, 0), (2479, 0), (3327, 0), (1016, 0), (7448, 0), (2506, 1), (478, 0), (3911, 1), (4551, 0), (5856, 0), (8622, 0), (941, 0), (2496, 0), (2082, 2), (7486, 0), (2332, 0), (91, 0), (4054, 0), (3101, 2), (2454, 0)]
61	2	1	2	0	[]
62	2	1	8	0	[]
63	4	1	8	0	[]
64	1	1	8	0	[]
65	7	1	8	0	[]
66	3	4	8	0	[]
67	21	1	8	2	[(5608, 2), (6645, 0)]
68	1	1	7	0	[]
69	4	6	8	0	[]
70	2	1	8	0	[]
71	15	2	8	2	[(2553, 2), (798, 0)]
72	1	1	1	0	[]
73	4	1	8	0	[]
74	2	1	9	0	[]
75	2	1	8	0	[]
76	1	1	8	0	[]
77	6	3	8	9	[(4190, 0), (6047, 0), (3321, 0), (4608, 0), (8347, 0), (5740, 0), (4471, 0), (5022, 0), (1793, 0)]
78	2	1	8	0	[]
79	1	1	8	0	[]
