instance_name	LB	best_sol	best_spread	best_algo	FF	FFD-Degree	FFD-Avg	FFD-Max	FFD-AvgExpo	FFD-Surrogate	FFD-ExtendedSum	BFD-Avg	BFD-Max	BFD-AvgExpo	BFD-Surrogate	BFD-ExtendedSum	WFD-Avg	WFD-Max	WFD-AvgExpo	WFD-Surrogate	WFD-ExtendedSum	NCD-L2Norm	NCD-DotProduct	NCD-Fitness	NCD-DotDivision	NodeCount	SpreadWFD-Avg	SpreadWFD-Max	SpreadWFD-Surrogate	FF_time	FFD-Degree_time	FFD-Avg_time	FFD-Max_time	FFD-AvgExpo_time	FFD-Surrogate_time	FFD-ExtendedSum_time	BFD-Avg_time	BFD-Max_time	BFD-AvgExpo_time	BFD-Surrogate_time	BFD-ExtendedSum_time	WFD-Avg_time	WFD-Max_time	WFD-AvgExpo_time	WFD-Surrogate_time	WFD-ExtendedSum_time	NCD-L2Norm_time	NCD-DotProduct_time	NCD-Fitness_time	NCD-DotDivision_time	NodeCount_time	SpreadWFD-Avg_time	SpreadWFD-Max_time	SpreadWFD-Surrogate_time	RefineWFD-Avg-5	RefineWFD-Avg-3	RefineWFD-Avg-2	RefineWFD-Avg-5_time	RefineWFD-Avg-3_time	RefineWFD-Avg-2_time
arbitrary_d1_0	5087	5636	5309	SpreadWFD-Avg	5707	5717	5707	5707	5707	5707	5879	5707	5707	5711	5707	5878	5707	5707	5636	5707	5865	5683	5683	5683	5683	5714	5309	5309	5309	3.0	3.0	3.0	3.0	3.0	3.0	4.0	4.0	4.0	11.0	10.0	19.0	4.0	10.0	26.0	10.0	46.0	17.0	15.0	13.0	15.0	481.0	213.0	214.0	237.0	5452	5401	5401	62.0	82.0	104.0
arbitrary_d1_1	5087	5635	5388	SpreadWFD-Avg	5708	5708	5708	5708	5708	5708	5878	5708	5708	5715	5708	5876	5708	5708	5635	5708	5862	5690	5690	5690	5690	5702	5388	5388	5388	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	12.0	11.0	20.0	4.0	11.0	26.0	11.0	47.0	18.0	17.0	15.0	16.0	419.0	225.0	231.0	255.0	5453	5402	5402	61.0	84.0	104.0
arbitrary_d1_2	5087	5633	5251	SpreadWFD-Avg	5712	5697	5712	5712	5712	5712	5880	5712	5712	5713	5712	5880	5712	5712	5633	5712	5866	5681	5681	5681	5681	5705	5251	5251	5251	4.0	4.0	4.0	4.0	4.0	4.0	5.0	5.0	5.0	12.0	11.0	20.0	5.0	11.0	27.0	11.0	47.0	17.0	16.0	14.0	16.0	536.0	233.0	227.0	251.0	5457	5253	5304	61.0	112.0	134.0
arbitrary_d1_3	5087	5628	5298	SpreadWFD-Avg	5706	5707	5706	5706	5706	5706	5880	5706	5706	5709	5706	5879	5706	5706	5628	5706	5861	5687	5687	5687	5687	5710	5298	5298	5298	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	12.0	11.0	19.0	4.0	10.0	26.0	10.0	47.0	17.0	16.0	14.0	16.0	559.0	222.0	229.0	252.0	5451	5400	5298	65.0	88.0	133.0
arbitrary_d1_4	5087	5633	5285	SpreadWFD-Avg	5710	5698	5710	5710	5710	5710	5878	5710	5710	5712	5710	5877	5710	5710	5633	5710	5865	5669	5669	5669	5669	5723	5285	5285	5285	4.0	4.0	4.0	4.0	4.0	4.0	5.0	5.0	5.0	12.0	11.0	20.0	5.0	11.0	27.0	11.0	49.0	17.0	17.0	14.0	16.0	560.0	231.0	230.0	255.0	5455	5404	5302	65.0	88.0	134.0
arbitrary_d1_5	5087	5631	5279	SpreadWFD-Avg	5712	5714	5712	5712	5712	5712	5878	5712	5712	5714	5712	5879	5712	5712	5631	5712	5866	5673	5673	5673	5673	5709	5279	5279	5279	4.0	4.0	4.0	4.0	4.0	4.0	5.0	5.0	5.0	12.0	11.0	20.0	5.0	11.0	27.0	11.0	49.0	17.0	16.0	14.0	16.0	533.0	228.0	228.0	252.0	5457	5406	5304	66.0	89.0	135.0
arbitrary_d1_6	5087	5634	5307	SpreadWFD-Avg	5706	5706	5706	5706	5706	5706	5877	5706	5706	5708	5706	5877	5706	5706	5634	5706	5862	5675	5675	5675	5675	5704	5307	5307	5307	4.0	4.0	4.0	4.0	4.0	4.0	5.0	5.0	5.0	12.0	11.0	20.0	5.0	11.0	27.0	11.0	48.0	17.0	16.0	14.0	16.0	508.0	230.0	229.0	254.0	5451	5400	5400	66.0	90.0	113.0
arbitrary_d1_7	5087	5639	5267	SpreadWFD-Avg	5707	5717	5707	5707	5707	5707	5876	5707	5707	5711	5707	5878	5707	5707	5639	5707	5864	5682	5682	5682	5682	5715	5267	5267	5267	4.0	4.0	4.0	4.0	4.0	4.0	5.0	5.0	5.0	12.0	11.0	20.0	5.0	11.0	27.0	11.0	48.0	16.0	16.0	14.0	16.0	505.0	232.0	231.0	250.0	5452	5401	5299	65.0	88.0	133.0
arbitrary_d1_8	5087	5630	5361	SpreadWFD-Avg	5707	5699	5707	5707	5707	5707	5880	5707	5707	5710	5707	5878	5707	5707	5630	5707	5860	5677	5677	5677	5677	5724	5361	5361	5361	3.0	3.0	3.0	3.0	3.0	3.0	4.0	4.0	4.0	11.0	10.0	18.0	4.0	10.0	25.0	10.0	45.0	17.0	14.0	12.0	14.0	506.0	221.0	222.0	242.0	5452	5401	5401	65.0	88.0	111.0
arbitrary_d1_9	5087	5634	5400	SpreadWFD-Avg	5710	5711	5710	5710	5710	5710	5880	5710	5710	5710	5710	5878	5710	5710	5634	5710	5863	5673	5673	5673	5673	5705	5400	5400	5400	3.0	3.0	3.0	3.0	3.0	3.0	4.0	4.0	4.0	11.0	10.0	19.0	4.0	10.0	25.0	10.0	45.0	17.0	15.0	13.0	15.0	514.0	219.0	219.0	241.0	5455	5404	5404	65.0	88.0	111.0
