instance_name	LB	best_sol	best_algo	FF	FFD-Degree	BFD-Avg	WFD-AvgExpo	SpreadWFD-Avg	RefineWFD-Avg-2	FF_time	FFD-Degree_time	BFD-Avg_time	WFD-AvgExpo_time	SpreadWFD-Avg_time	RefineWFD-Avg-2_time
arbitrary_d1_0	4952	5055	SpreadWFD-Avg	5469	5453	5404	5385	5055	5069	9.000000	8.000000	14.000000	214.000000	220.000000	133.000000
arbitrary_d1_1	4952	5066	SpreadWFD-Avg	5470	5426	5410	5378	5066	5070	9.000000	8.000000	14.000000	214.000000	222.000000	137.000000
arbitrary_d1_2	4952	5055	SpreadWFD-Avg	5468	5478	5401	5385	5055	5068	9.000000	9.000000	14.000000	213.000000	221.000000	137.000000
arbitrary_d1_3	4952	5066	RefineWFD-Avg-2	5466	5440	5408	5383	5210	5066	9.000000	8.000000	14.000000	214.000000	251.000000	137.000000
arbitrary_d1_4	4952	5055	SpreadWFD-Avg	5466	5442	5408	5385	5055	5066	9.000000	9.000000	14.000000	212.000000	221.000000	137.000000
arbitrary_d1_5	4952	5055	SpreadWFD-Avg	5473	5445	5404	5376	5055	5073	9.000000	8.000000	14.000000	214.000000	226.000000	133.000000
arbitrary_d1_6	4952	5062	SpreadWFD-Avg	5468	5467	5408	5384	5062	5068	9.000000	8.000000	14.000000	212.000000	217.000000	137.000000
arbitrary_d1_7	4952	5055	SpreadWFD-Avg	5464	5423	5409	5383	5055	5064	9.000000	8.000000	14.000000	214.000000	229.000000	138.000000
arbitrary_d1_8	4952	5056	SpreadWFD-Avg	5471	5458	5406	5380	5056	5071	9.000000	8.000000	14.000000	214.000000	220.000000	134.000000
arbitrary_d1_9	4952	5053	SpreadWFD-Avg	5468	5462	5412	5378	5053	5068	9.000000	9.000000	14.000000	215.000000	222.000000	137.000000
normal_d1_0	4952	5058	SpreadWFD-Avg	5470	5469	5413	5387	5058	5070	9.000000	8.000000	14.000000	213.000000	231.000000	142.000000
normal_d1_1	4952	5055	SpreadWFD-Avg	5472	5450	5405	5388	5055	5072	9.000000	8.000000	14.000000	214.000000	230.000000	139.000000
normal_d1_2	4952	5055	SpreadWFD-Avg	5467	5447	5410	5380	5055	5067	9.000000	8.000000	14.000000	213.000000	225.000000	135.000000
normal_d1_3	4952	5054	SpreadWFD-Avg	5471	5420	5408	5388	5054	5071	9.000000	9.000000	14.000000	214.000000	230.000000	150.000000
normal_d1_4	4952	5056	SpreadWFD-Avg	5466	5444	5407	5383	5056	5066	10.000000	9.000000	15.000000	218.000000	248.000000	152.000000
normal_d1_5	4952	5056	SpreadWFD-Avg	5469	5458	5406	5379	5056	5069	10.000000	10.000000	14.000000	219.000000	250.000000	148.000000
normal_d1_6	4952	5055	SpreadWFD-Avg	5474	5445	5411	5379	5055	5074	10.000000	10.000000	15.000000	218.000000	259.000000	155.000000
normal_d1_7	4952	5056	SpreadWFD-Avg	5469	5460	5405	5381	5056	5069	10.000000	9.000000	14.000000	218.000000	249.000000	148.000000
normal_d1_8	4952	5056	SpreadWFD-Avg	5464	5478	5409	5382	5056	5064	10.000000	9.000000	15.000000	208.000000	214.000000	139.000000
normal_d1_9	4952	5056	SpreadWFD-Avg	5465	5459	5410	5380	5056	5065	10.000000	9.000000	14.000000	217.000000	249.000000	149.000000
threshold_d1_0	4952	5055	SpreadWFD-Avg	5466	5453	5412	5386	5055	5066	9.000000	9.000000	13.000000	194.000000	206.000000	127.000000
threshold_d1_1	4952	5065	SpreadWFD-Avg	5467	5457	5413	5386	5065	5067	9.000000	11.000000	13.000000	192.000000	224.000000	132.000000
threshold_d1_2	4952	5056	SpreadWFD-Avg	5465	5451	5412	5382	5056	5065	9.000000	10.000000	13.000000	194.000000	218.000000	127.000000
threshold_d1_3	4952	5056	SpreadWFD-Avg	5468	5456	5410	5387	5056	5068	9.000000	10.000000	14.000000	198.000000	218.000000	133.000000
threshold_d1_4	4952	5056	SpreadWFD-Avg	5470	5453	5415	5378	5056	5070	9.000000	11.000000	14.000000	195.000000	234.000000	143.000000
threshold_d1_5	4952	5061	SpreadWFD-Avg	5470	5470	5412	5389	5061	5070	10.000000	10.000000	14.000000	198.000000	222.000000	138.000000
threshold_d1_6	4952	5056	SpreadWFD-Avg	5468	5441	5409	5385	5056	5168	9.000000	9.000000	13.000000	195.000000	207.000000	105.000000
threshold_d1_7	4952	5062	SpreadWFD-Avg	5469	5464	5412	5387	5062	5069	9.000000	9.000000	13.000000	192.000000	212.000000	127.000000
threshold_d1_8	4952	5061	RefineWFD-Avg-2	5461	5457	5415	5390	5080	5061	9.000000	9.000000	14.000000	197.000000	221.000000	128.000000
threshold_d1_9	4952	5065	SpreadWFD-Avg	5467	5482	5413	5380	5065	5067	9.000000	9.000000	13.000000	194.000000	219.000000	129.000000
arbitrary_d5_0	4952	5058	SpreadWFD-Avg	5458	5452	5410	5386	5058	5058	23.000000	22.000000	29.000000	239.000000	639.000000	397.000000
arbitrary_d5_1	4952	5083	SpreadWFD-Avg	5454	5456	5411	5395	5083	5154	23.000000	23.000000	28.000000	244.000000	646.000000	335.000000
arbitrary_d5_2	4952	5081	SpreadWFD-Avg	5461	5437	5406	5387	5081	5161	24.000000	23.000000	29.000000	246.000000	659.000000	328.000000
arbitrary_d5_3	4952	5067	RefineWFD-Avg-2	5467	5450	5409	5384	5086	5067	23.000000	23.000000	29.000000	246.000000	659.000000	394.000000
arbitrary_d5_4	4952	5159	RefineWFD-Avg-2	5459	5439	5409	5383	5209	5159	23.000000	24.000000	28.000000	249.000000	637.000000	325.000000
