instance_name	LB	FF	FFD-Degree	FFD-Avg	FFD-Max	FFD-AvgExpo	FFD-Surrogate	FFD-ExtendedSum	BFD-Avg	BFD-Max	BFD-AvgExpo	BFD-Surrogate	BFD-ExtendedSum	FF_time	FFD-Degree_time	FFD-Avg_time	FFD-Max_time	FFD-AvgExpo_time	FFD-Surrogate_time	FFD-ExtendedSum_time	BFD-Avg_time	BFD-Max_time	BFD-AvgExpo_time	BFD-Surrogate_time	BFD-ExtendedSum_time	BCD-L2Norm	BCD-DotProduct	BCD-Fitness	BCD-L2Norm_time	BCD-DotProduct_time	BCD-Fitness_time
large_scale_10000_arbitrary_d005_0	4735	4848	4866	4848	4848	4848	4848	4926	4848	4848	4850	4848	4924	2.8080000000000003	2.8160000000000003	2.727	2.7569999999999997	2.6860000000000004	2.6860000000000004	3.313	3.3810000000000002	3.3810000000000002	3.821	3.4530000000000003	4.921	4846.0	4846	4846	24.358999	16.176001	19.492001000000002
large_scale_10000_arbitrary_d005_1	4565	4710	4715	4710	4710	4710	4710	4743	4710	4710	4713	4710	4743	2.673	2.693	2.6889999999999996	2.685	2.6439999999999997	2.612	3.155	3.325	3.31	3.733	3.3289999999999997	4.678	4705.0	4701	4701	19.719	14.059000000000001	17.047001
large_scale_10000_arbitrary_d005_2	4646	4778	4776	4778	4778	4778	4778	4807	4778	4778	4778	4778	4807	2.66	2.63	2.6519999999999997	2.63	2.6039999999999996	2.595	3.236	3.4539999999999997	3.457	3.85	3.3789999999999996	4.656000000000001	4779.0	4773	4773	20.313	15.466	19.261999
large_scale_10000_arbitrary_d005_3	4460	4598	4597	4598	4598	4598	4598	4628	4598	4598	4598	4598	4629	2.662	2.6489999999999996	2.667	2.6710000000000003	2.6519999999999997	2.6839999999999997	3.2039999999999997	3.3539999999999996	3.366	3.8169999999999997	3.407	4.744	4597.0	4594	4594	20.002001	14.446	17.669001
large_scale_10000_arbitrary_d005_4	4719	4809	4804	4809	4809	4809	4809	4848	4809	4809	4807	4809	4847	2.78	2.733	2.77	2.7680000000000002	2.752	2.763	3.302	3.438	3.173	3.66	3.2460000000000004	4.385	4808.0	4804	4804	27.826999999999998	15.575	19.099001
large_scale_10000_arbitrary_d005_5	4699	4891	4885	4891	4891	4891	4891	4886	4891	4891	4894	4891	4886	2.399	2.4090000000000003	2.388	2.387	2.388	2.3819999999999997	2.862	3.141	3.1010000000000004	3.5639999999999996	3.116	4.387	4887.0	4890	4890	22.427	14.007	17.93
large_scale_10000_arbitrary_d005_6	4686	4811	4806	4811	4811	4811	4811	4836	4811	4811	4812	4811	4836	2.333	2.298	2.271	2.225	2.217	2.222	2.7119999999999997	2.883	2.867	3.245	2.8819999999999997	4.156000000000001	4811.0	4802	4802	20.785	15.120999999999999	18.358999
large_scale_10000_arbitrary_d005_7	4859	4943	4937	4943	4943	4943	4943	4971	4943	4943	4943	4943	4971	2.38	2.377	2.404	2.412	2.403	2.397	2.952	3.0810000000000004	3.095	3.4610000000000003	3.094	4.422	4941.0	4935	4935	21.919001	14.921	18.652
large_scale_10000_arbitrary_d005_8	4365	4466	4476	4466	4466	4466	4466	4518	4466	4466	4467	4466	4518	2.233	2.193	2.112	2.128	2.1109999999999998	2.133	2.582	2.7310000000000003	2.662	2.991	2.65	3.75	4468.0	4464	4464	23.534000000000002	14.695	17.542999
large_scale_10000_arbitrary_d005_9	4780	4915	4917	4915	4915	4915	4915	4925	4915	4915	4916	4915	4924	2.362	2.339	2.3819999999999997	2.38	2.381	2.387	2.931	3.077	3.137	3.483	3.082	4.387	4911.0	4911	4911	17.951	14.956	18.899
large_scale_10000_normal_d005_0	4735	4847	4865	4847	4847	4847	4847	4925	4847	4847	4849	4847	4923	2.5	2.465	2.568	2.523	2.5610000000000004	2.521	2.89	3.074	3.218	3.748	3.405	5.247999999999999	4849.0	4849	4849	25.167999	16.559	19.183001
large_scale_10000_normal_d005_1	4565	4711	4715	4711	4711	4711	4711	4745	4711	4711	4712	4711	4742	2.6010000000000004	2.605	2.676	2.634	2.617	2.614	3.155	3.27	3.227	3.613	3.266	4.631	4706.0	4704	4704	19.945	13.779000000000002	16.618999
large_scale_10000_normal_d005_2	4646	4778	4778	4778	4778	4778	4778	4806	4778	4778	4780	4778	4806	2.612	2.577	2.6689999999999996	2.71	2.688	2.6310000000000002	3.145	3.38	3.4610000000000003	3.9019999999999997	3.404	4.747	4779.0	4775	4775	20.700001	15.054	18.346001
large_scale_10000_normal_d005_3	4460	4597	4595	4597	4597	4597	4597	4628	4597	4597	4600	4597	4629	2.611	2.592	2.5610000000000004	2.594	2.605	2.596	3.14	3.263	3.31	3.7560000000000002	3.318	4.5680000000000005	4596.0	4597	4597	20.087999	14.424000000000001	16.502001
large_scale_10000_normal_d005_4	4719	4809	4817	4809	4809	4809	4809	4847	4809	4809	4809	4809	4846	2.721	2.668	2.727	2.735	2.713	2.718	3.2460000000000004	3.4019999999999997	3.3819999999999997	3.988	3.49	4.763999999999999	4809.0	4806	4806	27.903000000000002	15.703	19.257998999999998
large_scale_10000_normal_d005_5	4699	4892	4880	4892	4892	4892	4892	4886	4892	4892	4893	4892	4886	2.385	2.367	2.411	2.405	2.3819999999999997	2.388	2.897	3.1069999999999998	3.095	3.5639999999999996	3.12	4.369	4892.0	4885	4885	22.909000000000002	14.759	18.25
large_scale_10000_normal_d005_6	4686	4812	4807	4812	4812	4812	4812	4835	4812	4812	4814	4812	4835	2.397	2.397	2.4	2.39	2.372	2.365	2.9019999999999997	3.016	3.0380000000000003	3.395	3.03	4.311	4812.0	4805	4805	21.757998999999998	15.855	18.790001
large_scale_10000_normal_d005_7	4859	4944	4940	4944	4944	4944	4944	4972	4944	4944	4943	4944	4972	2.423	2.4619999999999997	2.449	2.4419999999999997	2.419	2.438	2.951	3.1069999999999998	3.147	3.486	3.117	4.512	4942.0	4936	4936	22.403999	15.337	18.757
