instance_name	LB	RefineWFD-Avg-5	RefineWFD-Avg-3	RefineWFD-Avg-2	RefineWFD-Avg-5_time	RefineWFD-Avg-3_time	RefineWFD-Avg-2_time
large_scale_10000_arbitrary_d005_0	4735	4848	4848	4848	33.0	33.0	33.0
large_scale_10000_arbitrary_d005_1	4565	4940	4848	4896	31.0	31.0	47.0
large_scale_10000_arbitrary_d005_2	4646	4778	4778	4778	32.0	33.0	34.0
large_scale_10000_arbitrary_d005_3	4460	4822	4868	4871	32.0	47.0	63.0
large_scale_10000_arbitrary_d005_4	4719	4809	4809	4809	32.0	33.0	33.0
large_scale_10000_normal_d005_0	4735	4847	4847	4847	34.0	34.0	34.0
large_scale_10000_normal_d005_1	4565	4941	4849	4897	33.0	32.0	49.0
large_scale_10000_normal_d005_2	4646	4778	4778	4685	33.0	34.0	52.0
large_scale_10000_normal_d005_3	4460	4821	4732	4688	33.0	33.0	33.0
large_scale_10000_normal_d005_4	4719	4809	4809	4809	34.0	34.0	35.0
large_scale_10000_threshold_d005_0	4735	4849	4849	4849	36.0	36.0	36.0
large_scale_10000_threshold_d005_1	4565	4712	4712	4620	31.0	32.0	48.0
large_scale_10000_threshold_d005_2	4646	4775	4775	4682	33.0	34.0	52.0
large_scale_10000_threshold_d005_3	4460	4595	4595	4505	36.0	36.0	55.0
large_scale_10000_threshold_d005_4	4719	4809	4809	4809	33.0	34.0	34.0
large_scale_50000_arbitrary_d005_0	22905	23439	23439	23439	1263.0	1289.0	1331.0
large_scale_50000_arbitrary_d005_1	22699	23195	23195	22741	1273.0	1304.0	1776.0
large_scale_50000_arbitrary_d005_2	23200	23795	23795	23795	1035.0	999.0	987.0
large_scale_50000_arbitrary_d005_3	22243	22764	22764	22319	1055.0	1210.0	1691.0
large_scale_50000_arbitrary_d005_4	22878	23514	23514	23514	1108.0	1122.0	1128.0
large_scale_50000_normal_d005_0	22905	23444	23444	23444	1380.0	1409.0	1392.0
large_scale_50000_normal_d005_1	22699	23195	23195	22741	1312.0	1330.0	2009.0
large_scale_50000_normal_d005_2	23200	23805	23805	23805	1335.0	1359.0	1365.0
large_scale_50000_normal_d005_3	22243	22762	22762	22317	1291.0	1338.0	1892.0
large_scale_50000_normal_d005_4	22878	23515	23515	23515	1282.0	1340.0	1324.0
large_scale_50000_threshold_d005_0	22905	23443	23443	23443	923.0	994.0	984.0
large_scale_50000_threshold_d005_1	22699	23194	23194	22740	1018.0	1052.0	1608.0
large_scale_50000_threshold_d005_2	23200	23801	23801	23337	1058.0	1070.0	1579.0
large_scale_50000_threshold_d005_3	22243	22765	22765	22320	1005.0	1024.0	1579.0
large_scale_50000_threshold_d005_4	22878	23509	23509	23051	1033.0	1061.0	1580.0
large_scale_100000_arbitrary_d005_0	45351	46509	46509	45601	4642.0	4630.0	6597.0
large_scale_100000_arbitrary_d005_1	46119	47300	47300	46377	4618.0	4657.0	7092.0
large_scale_100000_arbitrary_d005_2	45703	46866	46866	45951	4465.0	4564.0	6994.0
large_scale_100000_arbitrary_d005_3	46081	47199	47199	46277	5703.0	6077.0	9597.0
large_scale_100000_arbitrary_d005_4	45727	46690	46690	46690	6647.0	6832.0	6670.0
large_scale_100000_normal_d005_0	45351	46517	46517	45609	6274.0	6525.0	10875.0
large_scale_100000_normal_d005_1	46119	47294	47294	46371	7005.0	7088.0	10337.0
large_scale_100000_normal_d005_2	45703	46859	46859	45944	6813.0	7126.0	11103.0
large_scale_100000_normal_d005_3	46081	47199	47199	46277	7250.0	6759.0	9061.0
large_scale_100000_normal_d005_4	45727	46687	46687	45772	8095.0	8092.0	12331.0
large_scale_100000_threshold_d005_0	45413	46626	46626	45717	6436.0	7071.0	10061.0
large_scale_100000_threshold_d005_1	46119	47301	47301	46378	8295.0	8374.0	12058.0
large_scale_100000_threshold_d005_2	45703	46864	46864	45949	8335.0	7978.0	11686.0
large_scale_100000_threshold_d005_3	46081	47200	47200	46278	6371.0	4615.0	10307.0
large_scale_100000_threshold_d005_4	45727	46686	46686	45771	8144.0	7214.0	9845.0
