instance_name	LB	best_sol	best_algo	FF	FFD-Degree	BFD-Avg	WFD-AvgExpo	RefineWFD-Avg-2	SpreadWFD-Avg	FF_time	FFD-Degree_time	BFD-Avg_time	WFD-AvgExpo_time	RefineWFD-Avg-2_time	SpreadWFD-Avg_time
large_scale_10000_arbitrary_d005_0	4235	4417	BFD-Avg	4440	4439	4417	4417	4440	4360	5.0	4.0	6.0	145.0	29.0	140.0
large_scale_10000_arbitrary_d005_1	4476	4666	WFD-AvgExpo	4689	4696	4669	4666	4689	4613	5.0	5.0	6.0	161.0	30.0	189.0
large_scale_10000_arbitrary_d005_2	4332	4541	WFD-AvgExpo	4580	4573	4556	4541	4493	4459	5.0	5.0	6.0	161.0	45.0	132.0
large_scale_10000_arbitrary_d005_3	4163	4418	WFD-AvgExpo	4445	4456	4444	4418	4361	4328	7.0	6.0	8.0	148.0	41.0	124.0
large_scale_10000_arbitrary_d005_4	4202	4407	WFD-AvgExpo	4426	4433	4416	4407	4426	4351	5.0	5.0	6.0	149.0	29.0	123.0
large_scale_10000_arbitrary_d005_5	4647	4855	WFD-AvgExpo	4901	4897	4865	4855	4808	4782	6.0	5.0	6.0	167.0	47.0	190.0
large_scale_10000_arbitrary_d005_6	4258	4414	WFD-AvgExpo	4454	4454	4420	4414	4454	4375	5.0	5.0	5.0	152.0	29.0	148.0
large_scale_10000_arbitrary_d005_7	4642	4848	WFD-AvgExpo	4881	4876	4856	4848	4881	4794	5.0	5.0	6.0	168.0	32.0	188.0
large_scale_10000_arbitrary_d005_8	4232	4454	WFD-AvgExpo	4463	4458	4456	4454	4378	4375	5.0	5.0	6.0	150.0	42.0	169.0
large_scale_10000_arbitrary_d005_9	4336	4530	WFD-AvgExpo	4568	4565	4537	4530	4481	4458	5.0	5.0	6.0	154.0	43.0	175.0
large_scale_10000_normal_d005_0	4235	4415	BFD-Avg	4435	4443	4415	4417	4435	4362	5.0	5.0	6.0	158.0	29.0	129.0
large_scale_10000_normal_d005_1	4476	4667	WFD-AvgExpo	4689	4690	4668	4667	4689	4614	5.0	5.0	6.0	175.0	31.0	139.0
large_scale_10000_normal_d005_2	4332	4544	WFD-AvgExpo	4580	4572	4552	4544	4493	4459	5.0	6.0	6.0	175.0	46.0	134.0
large_scale_10000_normal_d005_3	4163	4420	WFD-AvgExpo	4445	4442	4446	4420	4361	4328	8.0	6.0	8.0	167.0	42.0	126.0
large_scale_10000_normal_d005_4	4202	4408	WFD-AvgExpo	4429	4426	4416	4408	4429	4350	5.0	5.0	6.0	166.0	29.0	124.0
large_scale_10000_normal_d005_5	4647	4857	WFD-AvgExpo	4908	4902	4865	4857	4815	4784	6.0	6.0	7.0	173.0	49.0	205.0
large_scale_10000_normal_d005_6	4258	4415	WFD-AvgExpo	4451	4457	4420	4415	4451	4376	5.0	5.0	6.0	166.0	29.0	157.0
large_scale_10000_normal_d005_7	4642	4845	WFD-AvgExpo	4880	4889	4855	4845	4880	4816	5.0	5.0	7.0	186.0	32.0	197.0
large_scale_10000_normal_d005_8	4232	4453	WFD-AvgExpo	4465	4467	4456	4453	4380	4379	5.0	5.0	6.0	163.0	43.0	177.0
large_scale_10000_normal_d005_9	4336	4539	BFD-Avg	4568	4547	4539	4539	4481	4459	5.0	5.0	6.0	169.0	44.0	187.0
large_scale_10000_threshold_d005_0	4235	4416	BFD-Avg	4438	4438	4416	4417	4438	4384	5.0	5.0	5.0	154.0	27.0	102.0
large_scale_10000_threshold_d005_1	4476	4667	BFD-Avg	4687	4689	4667	4667	4687	4613	5.0	5.0	6.0	159.0	27.0	123.0
large_scale_10000_threshold_d005_2	4332	4543	WFD-AvgExpo	4581	4577	4552	4543	4494	4462	5.0	5.0	6.0	170.0	38.0	114.0
large_scale_10000_threshold_d005_3	4163	4422	WFD-AvgExpo	4446	4439	4444	4422	4362	4324	7.0	6.0	7.0	163.0	37.0	119.0
large_scale_10000_threshold_d005_4	4202	4406	WFD-AvgExpo	4428	4437	4411	4406	4428	4347	5.0	5.0	5.0	151.0	26.0	115.0
large_scale_10000_threshold_d005_5	4647	4856	WFD-AvgExpo	4903	4911	4866	4856	4810	4785	6.0	6.0	6.0	177.0	42.0	168.0
large_scale_10000_threshold_d005_6	4258	4411	WFD-AvgExpo	4451	4456	4422	4411	4451	4374	5.0	5.0	5.0	158.0	26.0	157.0
large_scale_10000_threshold_d005_7	4642	4844	WFD-AvgExpo	4882	4882	4857	4844	4882	4794	5.0	5.0	6.0	182.0	28.0	169.0
large_scale_10000_threshold_d005_8	4232	4453	WFD-AvgExpo	4459	4464	4457	4453	4459	4384	5.0	5.0	5.0	155.0	25.0	147.0
large_scale_10000_threshold_d005_9	4336	4532	WFD-AvgExpo	4570	4565	4537	4532	4483	4461	5.0	5.0	6.0	160.0	39.0	152.0
large_scale_50000_arbitrary_d005_0	21097	22328	WFD-AvgExpo	22407	22431	22358	22328	21985	21867	252.0	259.0	342.0	5063.0	1399.0	5623.0
large_scale_50000_arbitrary_d005_1	21543	22730	WFD-AvgExpo	22817	22813	22734	22730	22386	22316	207.0	207.0	258.0	5392.0	1935.0	5822.0
large_scale_50000_arbitrary_d005_2	22057	23229	WFD-AvgExpo	23291	23312	23237	23229	22849	22820	273.0	270.0	351.0	5456.0	2037.0	5129.0
large_scale_50000_arbitrary_d005_3	21462	22651	WFD-AvgExpo	22732	22749	22667	22651	22302	22287	247.0	247.0	315.0	5266.0	1735.0	8439.0
large_scale_50000_arbitrary_d005_4	21661	22851	WFD-AvgExpo	22936	22980	22900	22851	22502	22419	252.0	256.0	336.0	5452.0	2148.0	9306.0
large_scale_50000_arbitrary_d005_5	20808	22015	BFD-Avg	22069	22063	22015	22016	21652	21592	247.0	244.0	307.0	4927.0	1951.0	5848.0
large_scale_50000_arbitrary_d005_6	21589	22892	BFD-Avg	22980	22957	22892	22904	22548	22503	283.0	282.0	361.0	5364.0	2185.0	8862.0
large_scale_50000_arbitrary_d005_7	21511	22620	WFD-AvgExpo	22674	22674	22638	22620	22674	22255	271.0	270.0	250.0	5631.0	1367.0	6652.0
large_scale_50000_arbitrary_d005_8	21697	22981	WFD-AvgExpo	23044	23047	23000	22981	22610	22553	294.0	293.0	383.0	5693.0	2185.0	6544.0
large_scale_50000_arbitrary_d005_9	21465	22611	WFD-AvgExpo	22682	22694	22651	22611	22252	22219	277.0	269.0	366.0	5681.0	2109.0	6658.0
large_scale_50000_normal_d005_0	21097	22333	WFD-AvgExpo	22407	22406	22357	22333	21985	21866	238.0	241.0	320.0	4465.0	2272.0	5550.0
large_scale_50000_normal_d005_1	21543	22730	BFD-Avg	22812	22808	22730	22734	22381	22310	252.0	259.0	353.0	4974.0	2348.0	5278.0
large_scale_50000_normal_d005_2	22057	23232	WFD-AvgExpo	23292	23306	23248	23232	22850	22821	241.0	242.0	316.0	3994.0	2529.0	5714.0
large_scale_50000_normal_d005_3	21462	22655	WFD-AvgExpo	22736	22705	22667	22655	22306	22282	119.0	119.0	146.0	3256.0	2173.0	7451.0
large_scale_50000_normal_d005_4	21661	22853	WFD-AvgExpo	22934	22977	22901	22853	22500	22415	110.0	109.0	138.0	3246.0	2466.0	6199.0
large_scale_50000_normal_d005_5	20808	22009	WFD-AvgExpo	22069	22076	22016	22009	21652	21602	108.0	104.0	128.0	2806.0	2239.0	8400.0
large_scale_50000_normal_d005_6	21589	22896	BFD-Avg	22979	22968	22896	22910	22547	22503	110.0	111.0	133.0	2885.0	2284.0	8071.0
large_scale_50000_normal_d005_7	21511	22627	WFD-AvgExpo	22681	22680	22637	22627	22681	22258	106.0	106.0	134.0	2619.0	1441.0	4568.0
large_scale_50000_normal_d005_8	21697	22985	WFD-AvgExpo	23043	23050	22997	22985	22609	22557	113.0	111.0	138.0	2929.0	1711.0	8012.0
large_scale_50000_normal_d005_9	21465	22613	WFD-AvgExpo	22681	22684	22650	22613	22251	22217	108.0	111.0	134.0	2860.0	1713.0	6803.0
large_scale_50000_threshold_d005_0	21097	22332	WFD-AvgExpo	22407	22414	22359	22332	21985	21870	142.0	151.0	176.0	3685.0	1524.0	4666.0
large_scale_50000_threshold_d005_1	21543	22729	WFD-AvgExpo	22817	22820	22735	22729	22386	22315	146.0	144.0	187.0	3792.0	1338.0	5836.0
large_scale_50000_threshold_d005_2	22057	23230	WFD-AvgExpo	23293	23302	23238	23230	22851	22821	146.0	149.0	177.0	3805.0	1530.0	5246.0
large_scale_50000_threshold_d005_3	21462	22656	WFD-AvgExpo	22735	22747	22669	22656	22305	22284	142.0	148.0	170.0	3507.0	1473.0	5396.0
large_scale_50000_threshold_d005_4	21661	22848	WFD-AvgExpo	22936	22953	22900	22848	22502	22422	138.0	135.0	169.0	3326.0	1586.0	5615.0
large_scale_50000_threshold_d005_5	20808	22013	WFD-AvgExpo	22071	22068	22020	22013	21654	21596	127.0	129.0	147.0	3125.0	1464.0	5676.0
large_scale_50000_threshold_d005_6	21589	22899	BFD-Avg	22978	22978	22899	22904	22546	22500	128.0	130.0	155.0	3281.0	1599.0	6459.0
large_scale_50000_threshold_d005_7	21511	22626	WFD-AvgExpo	22675	22678	22636	22626	22675	22260	124.0	123.0	159.0	3220.0	1052.0	6356.0
